stop_id,time_interval,result
1444799,00,Citation
1444821,00,Verbal Warning
1447102,01,Citation
1444801,03,Verbal Warning
1444802,03,Verbal Warning
1444912,03,Verbal Warning
1444804,06,Verbal Warning
1444805,07,Other
1444811,08,Citation
1444807,08,Verbal Warning
1444806,08,Verbal Warning
1444808,08,Verbal Warning
1444809,08,Citation
1444810,09,Verbal Warning
1444812,09,Verbal Warning
1444889,09,Verbal Warning
1444814,09,Citation
1444815,09,Citation
1444813,09,Verbal Warning
1444829,10,Arrested
1444817,10,Citation
1444816,10,Citation
1444819,10,Citation
1444820,11,Verbal Warning
1444823,13,Citation
1444835,13,Arrested
1444827,13,Citation
1444824,13,Verbal Warning
1444837,14,NULL
1444838,14,NULL
1444826,14,Citation
1444840,14,NULL
1444828,15,Citation
1444831,15,Citation
1444830,15,FI
1444842,15,NULL
1444841,15,Citation
1444832,15,Written Warning
1444839,15,Citation
1444843,15,NULL
1444833,15,NULL
1444836,15,Citation
1444844,16,Citation
1444858,16,Arrested
1444834,16,FI
1444845,16,NULL
1444847,16,NULL
1444846,16,Arrested
1444848,16,NULL
1444853,16,Citation
1444849,17,FI
1444850,17,Citation
1444851,17,Citation
1444854,17,Arrested
1444852,17,Verbal Warning
1444899,17,Arrested
1444881,17,NULL
1444882,18,NULL
1444857,18,Verbal Warning
1444883,18,NULL
1444859,18,Verbal Warning
1444884,18,NULL
1444855,18,Citation
1444856,18,Verbal Warning
1444860,18,Verbal Warning
1444861,18,Citation
1444862,18,Verbal Warning
1444886,18,NULL
1444887,18,NULL
1444864,18,Citation
1444863,18,Verbal Warning
1444888,18,NULL
1444869,19,Citation
1444871,19,Citation
1444867,19,Verbal Warning
1444865,19,NULL
1444866,19,Citation
1444868,19,Verbal Warning
1444870,19,Citation
1444872,19,Verbal Warning
1444873,20,Verbal Warning
1444875,20,Verbal Warning
1444874,20,Verbal Warning
1444876,20,Written Warning
1444877,20,Verbal Warning
1444878,20,Citation
1444879,20,Verbal Warning
1444885,21,Written Warning
1444893,21,Citation
1444890,21,Arrested
1444892,21,Verbal Warning
1444891,21,Citation
1444894,21,Citation
1444895,22,NULL
1444896,22,Verbal Warning
1444897,22,Citation
1444898,22,Verbal Warning
1444903,22,Citation
1444900,22,Citation
1444902,23,Citation
1444901,23,Verbal Warning
1444907,23,Verbal Warning
1444905,23,Citation
1444951,00,Verbal Warning
1445677,00,Citation
1444904,00,Citation
1445676,00,Citation
1444950,00,Citation
1444972,00,Citation
1445090,00,Verbal Warning
1444909,00,Citation
1444956,00,Citation
1444958,00,NULL
1444906,00,Verbal Warning
1444910,01,Citation
1445101,01,Citation
1444911,02,Citation
1444919,03,Arrested
1444913,03,Verbal Warning
1444914,03,Written Warning
1444915,03,Citation
1444916,04,Verbal Warning
1444917,05,Verbal Warning
1444918,06,Verbal Warning
1444920,07,Verbal Warning
1444921,07,Citation
1444922,07,Other
1445116,07,Citation
1444949,08,Citation
1444923,08,Citation
1444924,08,Verbal Warning
1445129,08,Verbal Warning
1444925,08,Verbal Warning
1445687,08,Citation
1444926,08,Verbal Warning
1445691,08,Citation
1444927,08,Citation
1445689,08,Citation
1445642,09,Citation
1444928,09,Verbal Warning
1444960,09,Citation
1445688,09,Citation
1444929,09,Verbal Warning
1445144,09,Citation
1444930,09,Verbal Warning
1445643,09,Citation
1445694,09,Citation
1444931,09,Written Warning
1444932,09,Citation
1445666,09,Citation
1445637,09,Citation
1444933,09,Verbal Warning
1445644,09,Citation
1447104,10,Citation
1444934,10,Verbal Warning
1444935,10,Citation
1444937,10,Citation
1445667,10,Citation
1444936,10,Citation
1445693,10,Citation
1445654,10,Citation
1445645,10,Citation
1445668,10,Citation
1444938,10,Citation
1445646,10,Citation
1445670,10,Citation
1445680,10,Citation
1445692,11,Citation
1444939,11,Verbal Warning
1444943,11,Citation
1444940,11,Verbal Warning
1445655,11,Citation
1445671,11,Citation
1444944,11,Citation
1444952,11,Citation
1445697,11,Citation
1445672,11,Citation
1444945,11,Verbal Warning
1444941,11,Citation
1444947,11,FI
1444946,11,Verbal Warning
1445656,11,Citation
1444948,11,Citation
1444954,11,Citation
1445647,12,Citation
1444953,12,Citation
1445650,12,Citation
1445673,12,Citation
1444955,12,Citation
1445684,12,Citation
1445665,12,Citation
1445631,12,Written Warning
1445675,12,Citation
1445685,12,Citation
1445632,13,Written Warning
1445696,13,Citation
1444957,13,Citation
1445188,13,Citation
1444959,13,Verbal Warning
1445638,13,Citation
1445674,13,Citation
1445695,13,Written Warning
1444962,13,NULL
1445681,13,Citation
1445633,13,Citation
1444961,13,Verbal Warning
1445658,13,Citation
1444963,13,Verbal Warning
1445639,13,Citation
1445699,13,Citation
1445659,13,Citation
1445698,13,Citation
1444965,13,Citation
1445657,13,Citation
1444971,13,Verbal Warning
1445653,13,Written Warning
1444964,13,Citation
1445634,13,Citation
1445660,13,Citation
1445661,13,Citation
1445682,13,Written Warning
1444966,13,NULL
1445652,13,Citation
1445683,13,Citation
1445662,13,Citation
1445640,13,Citation
1444967,13,Verbal Warning
1444968,13,Verbal Warning
1445636,13,Citation
1444969,13,Verbal Warning
1445641,13,Citation
1444970,13,Citation
1445663,14,Citation
1444974,14,Written Warning
1444973,14,Verbal Warning
1445004,14,Citation
1444977,14,NULL
1444978,14,NULL
1444975,15,Verbal Warning
1444976,15,Verbal Warning
1445011,15,NULL
1444979,15,NULL
1444986,15,Verbal Warning
1444984,15,Citation
1444981,15,NULL
1444980,15,Citation
1444982,15,Verbal Warning
1444983,15,Written Warning
1444985,15,NULL
1444987,15,Citation
1444988,15,NULL
1444989,15,NULL
1444990,16,Verbal Warning
1444992,16,NULL
1444991,16,NULL
1444994,16,NULL
1444993,16,Citation
1444998,16,Citation
1444996,16,NULL
1445000,16,NULL
1444995,16,Verbal Warning
1445009,16,Verbal Warning
1444999,16,Verbal Warning
1445099,16,Arrested
1445002,16,Verbal Warning
1445001,16,NULL
1445003,16,Citation
1445006,16,NULL
1445005,16,NULL
1445007,17,Verbal Warning
1445010,17,Verbal Warning
1445008,17,NULL
1445012,17,Verbal Warning
1444997,17,Verbal Warning
1445065,17,Citation
1445017,17,NULL
1445033,17,Citation
1445013,17,Verbal Warning
1445014,17,Verbal Warning
1445015,17,Verbal Warning
