stop_id,time_interval,result
1119323,12,NULL
1159186,00,Verbal Warning
1203451,09,Verbal Warning
1204132,01,Citation
1205055,18,Verbal Warning
1211005,21,NULL
1211007,23,NULL
1213996,17,Citation
1214018,20,Verbal Warning
1218287,19,Citation
1235166,14,Citation
1240752,03,Verbal Warning
1243804,01,Verbal Warning
1248661,10,Citation
1251122,14,Citation
1251785,01,Verbal Warning
1254707,21,Verbal Warning
1255133,09,Citation
1255207,15,Verbal Warning
1258960,09,Citation
1265750,21,Verbal Warning
1268086,08,Citation
1268181,22,Verbal Warning
1269664,19,Written Warning
1308170,00,Verbal Warning
1308171,00,Citation
1308172,00,Citation
1308174,00,Citation
1308175,01,Verbal Warning
1308176,01,Citation
1308177,01,Citation
1308178,02,Arrested
1308180,03,Written Warning
1308181,06,NULL
1308182,06,Citation
1308183,08,Verbal Warning
1308184,08,Verbal Warning
1308185,08,Verbal Warning
1308186,08,Written Warning
1308187,08,Searched
1308188,08,Citation
1308189,09,Citation
1308190,10,Verbal Warning
1308191,07,Citation
1308192,10,Citation
1308193,11,Written Warning
1308194,11,Verbal Warning
1308195,11,Verbal Warning
1308196,11,Citation
1308197,00,Verbal Warning
1308198,00,Verbal Warning
1308199,00,Verbal Warning
1308200,00,Citation
1308201,13,Searched
1308202,13,Citation
1308203,13,Citation
1308204,14,Verbal Warning
1308205,14,Citation
1308207,14,Citation
1308208,15,Verbal Warning
1308209,14,Citation
1308210,15,Citation
1308211,15,Verbal Warning
1308212,15,Written Warning
1308213,15,Citation
1308214,15,Verbal Warning
1308215,16,Citation
1308216,16,Written Warning
1308217,16,Written Warning
1308218,16,Citation
1308219,16,Citation
1308220,16,Verbal Warning
1308221,16,Verbal Warning
1308222,16,Citation
1308223,16,Citation
1308224,16,NULL
1308225,16,Citation
1308226,16,Citation
1308227,16,Verbal Warning
1308228,16,Citation
1308230,17,Verbal Warning
1308229,17,Verbal Warning
1308231,17,Written Warning
1308232,16,Citation
1308233,17,NULL
1308234,17,Citation
1308235,17,Verbal Warning
1308236,17,Citation
1308237,17,Verbal Warning
1308239,17,Citation
1308238,17,Verbal Warning
1308240,17,Citation
1308241,17,NULL
1308242,17,Verbal Warning
1308243,17,Citation
1308244,17,NULL
1308246,17,NULL
1308245,17,Citation
1308247,17,Citation
1308248,17,Citation
1308249,17,Citation
1308250,18,Citation
1308251,18,Verbal Warning
1308252,18,NULL
1308253,18,Citation
1308254,18,Citation
1308255,18,Citation
1308256,18,Verbal Warning
1308257,18,Verbal Warning
1308258,18,Other
1308259,18,Citation
1308260,18,Citation
1308261,19,NULL
1308262,19,Verbal Warning
1308263,19,Citation
1308264,19,Searched
1308265,19,Citation
1308267,19,Verbal Warning
1308266,19,Verbal Warning
1308268,19,NULL
1308269,19,Verbal Warning
1308270,19,NULL
1308271,19,NULL
1308272,19,Citation
1308273,20,Verbal Warning
1308274,19,Verbal Warning
1308275,20,NULL
1308276,19,NULL
1308279,20,Verbal Warning
1308278,19,Searched
1308277,20,Verbal Warning
1308280,20,Verbal Warning
1308281,20,NULL
1308282,20,NULL
1308283,20,NULL
1308284,20,NULL
1308285,21,NULL
1308286,15,Written Warning
1308287,21,Citation
1308288,19,Arrested
1308289,21,NULL
1308290,14,Written Warning
1308291,22,Verbal Warning
1308292,22,Written Warning
1308293,22,Verbal Warning
1308295,22,Verbal Warning
1308294,22,Citation
1308296,21,Citation
1308297,22,Searched
1308298,22,Citation
1308299,22,Searched
1308300,22,Verbal Warning
1308301,22,Citation
1308303,23,Citation
1308302,23,Citation
1308304,23,Citation
1308305,11,Verbal Warning
1308306,23,Verbal Warning
1308307,23,Verbal Warning
1308308,23,Verbal Warning
1308309,23,Verbal Warning
1308310,23,Verbal Warning
1308311,23,Citation
1308312,00,Citation
1308313,00,Verbal Warning
1308314,00,Citation
1308315,00,Citation
1308316,01,Verbal Warning
1308317,01,Verbal Warning
1308318,01,Citation
1308319,01,Verbal Warning
1308320,01,Citation
1308321,01,Verbal Warning
1308322,01,Citation
1308323,02,Verbal Warning
1308324,02,Verbal Warning
1308325,02,Citation
1308326,02,Verbal Warning
1308327,19,Citation
1308328,02,Verbal Warning
1308330,03,Verbal Warning
1308329,03,Arrested
1308331,04,Citation
1308332,04,Verbal Warning
1308333,04,Searched
