subject_sex,subject_age,
M,22,
M,29,
F,61,
M,24,
M,45,
M,45,
M,38,
M,30,
M,54,
M,68,
M,17,
M,64,
M,25,
M,40,
M,31,
F,29,
M,24,
M,29,
M,58,
M,21,
M,37,
F,39,
M,20,
M,54,
M,52,
F,28,
M,35,
M,37,
M,20,
M,24,
F,48,
M,35,
M,25,
M,18,
M,55,
M,54,
F,66,
F,31,
M,59,
F,53,
M,36,
F,32,
M,73,
M,34,
M,26,
M,44,
M,44,
M,31,
M,48,
M,38,
F,60,
M,28,
M,57,
M,42,
F,66,
M,32,
M,21,
M,58,
F,45,
M,55,
F,24,
M,45,
F,19,
M,22,
M,57,
M,49,
M,28,
M,43,
F,67,
M,31,
M,32,
M,24,
F,66,
F,29,
M,53,
F,48,
F,16,
M,28,
M,34,
M,30,
F,23,
F,17,
F,27,
M,30,
M,19,
M,16,
M,21,
F,18,
M,35,
F,46,
M,51,
M,26,
F,52,
F,44,
F,63,
M,24,
F,31,
F,51,
M,30,
M,54,
M,24,
M,72,
M,45,
M,26,
M,50,
M,34,
M,30,
M,21,
F,27,
M,30,
F,28,
F,21,
M,58,
M,23,
M,32,
M,46,
M,45,
M,25,
F,31,
M,37,
M,35,
M,42,
M,31,
M,20,
M,55,
F,39,
M,62,
F,30,
M,39,
M,32,
M,50,
F,82,
M,33,
M,30,
M,47,
M,65,
M,47,
F,36,
M,39,
F,34,
M,82,
M,66,
M,24,
M,52,
M,24,
M,79,
M,55,
M,57,
M,52,
M,59,
M,27,
M,33,
M,47,
M,30,
F,37,
M,54,
F,28,
M,55,
M,30,
F,21,
F,34,
M,35,
M,41,
F,52,
F,25,
F,50,
M,22,
F,29,
M,47,
F,25,
M,63,
F,26,
M,38,
F,69,
M,29,
F,45,
M,50,
M,32,
M,52,
F,21,
M,36,
M,25,
F,35,
M,29,
M,23,
F,25,
M,56,
M,30,
M,64,
M,17,
F,69,
M,22,
M,28,
M,39,
M,23,
F,22,
M,31,
F,26,
F,30,
F,25,
F,87,
M,36,
F,49,
M,29,
M,34,
F,25,
M,74,
F,36,
M,64,
M,42,
M,44,
M,45,
M,19,
M,24,
F,50,
F,49,
M,59,
M,56,
M,55,
F,53,
M,35,
F,27,
M,20,
F,58,
M,31,
M,22,
F,31,
F,54,
M,27,
M,24,
M,19,
M,36,
M,23,
M,22,
M,29,
M,28,
F,36,
M,35,
M,60,
M,23,
F,29,
M,57,
M,22,
M,40,
M,62,
M,26,
M,24,
F,42,
M,34,
M,62,
F,55,
F,29,
M,44,
M,41,
M,44,
M,32,
M,26,
M,31,
M,24,
F,68,
F,43,
M,25,
M,39,
M,20,
M,31,
M,36,
M,23,
M,42,
M,24,
M,46,
M,75,
F,56,
M,33,
M,21,
M,23,
F,52,
F,28,
M,27,
F,27,
F,49,
M,19,
F,55,
M,44,
M,25,
F,35,
M,23,
F,40,
M,56,
M,38,
M,19,
M,50,
F,21,
M,51,
F,38,
M,25,
M,18,
M,21,
F,66,
F,27,
M,19,
M,33,
M,19,
M,20,
F,19,
M,23,
M,30,
M,21,
F,36,
F,47,
F,33,
F,23,
M,45,
M,38,
F,22,
M,29,
M,22,
M,20,
M,20,
M,35,
M,30,
M,34,
M,53,
M,21,
M,16,
M,20,
M,28,
M,28,
M,49,
F,27,
F,17,
M,35,
M,28,
M,44,
F,39,
F,23,
M,21,
M,19,
M,37,
M,40,
M,28,
M,45,
F,21,
M,32,
M,35,
M,35,
M,43,
M,53,
F,28,
F,63,
M,39,
F,53,
F,52,
F,36,
F,44,
F,31,
M,38,
F,43,
M,21,
F,58,
F,55,
F,47,
M,45,
F,31,
M,52,
M,61,
M,76,
M,56,
F,43,
M,45,
M,30,
M,66,
M,37,
F,46,
F,50,
M,37,
F,45,
F,31,
M,52,
M,51,
M,28,
F,25,
M,30,
M,41,
F,40,
F,38,
M,43,
M,35,
M,48,
M,25,
M,26,
F,29,
M,34,
M,31,
F,30,
M,45,
M,41,
F,40,
M,23,
M,56,
M,33,
M,52,
M,25,
F,30,
M,33,
F,37,
F,27,
F,27,
M,46,
F,50,
F,37,
M,26,
M,41,
M,39,
F,29,
M,45,
F,44,
M,30,
M,42,
M,60,
M,45,
M,35,
M,51,
M,29,
F,36,
F,45,
M,47,
M,26,
M,45,
F,19,
M,25,
F,29,
M,49,
M,53,
F,40,
F,32,
F,31,
M,83,
F,55,
M,25,
F,19,
F,33,
M,20,
F,40,
M,39,
F,34,
M,28,
M,61,
M,72,
M,34,
F,35,
M,28,
M,42,
M,27,
M,20,
M,21,
M,43,
M,61,
M,35,
F,27,
M,50,
M,52,
F,55,
F,39,
M,47,
M,29,
M,45,
M,33,
F,49,
M,55,
M,40,
M,74,
F,45,
M,47,
M,32,
M,27,
F,41,
F,56,
M,29,
M,40,
M,21,
F,22,
F,33,
M,36,
M,21,
F,55,
M,66,
F,28,
M,42,
F,39,
F,23,
F,67,
M,59,
F,22,
M,20,
F,46,
M,23,
M,25,
M,31,
M,48,
F,40,
M,22,
F,18,
M,23,
M,64,
M,23,
M,25,
M,40,
F,28,
F,51,
M,50,
F,41,
M,62,
F,42,
M,59,
M,55,
F,75,
F,37,
M,47,
F,41,
M,40,
M,51,
F,38,
M,49,
F,54,
M,84,
F,35,
F,52,
M,40,
F,29,
M,27,
M,54,
M,41,
F,33,
M,53,
F,27,
M,57,
F,34,
M,25,
M,20,
M,43,
M,35,
M,62,
M,31,
M,62,
F,65,
M,64,
F,25,
F,65,
M,22,
F,76,
M,21,
F,37,
F,55,
M,39,
M,41,
M,29,
M,44,
F,50,
M,61,
M,31,
M,21,
M,19,
F,42,
F,36,
