subject_age,searched,
22,N,
29,N,
61,N,
24,N,
45,N,
45,N,
38,N,
30,N,
54,Y,
64,Y,
25,N,
40,N,
31,N,
29,N,
24,N,
58,Y,
21,N,
37,N,
39,Y,
20,N,
52,Y,
28,N,
35,N,
24,N,
35,N,
25,N,
18,N,
54,N,
31,N,
59,N,
36,Y,
32,N,
26,Y,
44,N,
31,Y,
48,N,
60,Y,
28,N,
57,Y,
32,N,
58,N,
55,N,
24,N,
45,N,
19,N,
22,N,
28,N,
43,N,
31,N,
32,N,
24,N,
29,Y,
48,N,
16,N,
28,N,
34,N,
30,N,
23,N,
17,N,
27,N,
19,N,
16,N,
21,N,
18,N,
51,N,
26,N,
52,N,
44,N,
63,N,
24,N,
31,N,
51,N,
30,N,
24,N,
72,N,
45,N,
34,N,
27,N,
30,Y,
28,N,
21,N,
58,N,
23,N,
32,N,
46,N,
45,N,
25,N,
31,N,
37,N,
42,N,
31,N,
20,Y,
39,N,
62,N,
30,N,
39,N,
32,N,
50,N,
82,N,
33,N,
30,N,
47,N,
47,N,
36,N,
39,N,
34,N,
82,N,
66,N,
24,N,
52,N,
24,N,
79,N,
55,N,
57,N,
52,N,
59,N,
33,N,
47,N,
30,N,
37,N,
54,N,
28,N,
55,N,
30,N,
21,N,
34,N,
35,N,
41,N,
52,N,
25,Y,
50,N,
22,N,
29,N,
47,N,
25,N,
63,N,
26,N,
38,N,
69,N,
29,N,
45,N,
50,N,
32,N,
52,N,
21,N,
36,N,
25,N,
35,N,
29,N,
23,N,
56,N,
30,N,
17,N,
69,N,
22,N,
28,N,
39,N,
22,N,
31,N,
26,N,
25,N,
87,N,
36,N,
49,N,
29,N,
34,N,
74,N,
36,N,
64,N,
42,N,
44,N,
45,N,
19,N,
24,N,
50,N,
49,N,
59,N,
56,N,
35,N,
27,N,
31,N,
54,N,
27,N,
24,N,
36,N,
60,N,
23,N,
57,N,
40,N,
62,N,
24,Y,
34,N,
29,N,
44,N,
44,N,
32,N,
26,Y,
24,N,
68,N,
43,N,
25,N,
31,Y,
36,N,
42,N,
75,N,
56,N,
33,N,
23,N,
28,N,
27,Y,
27,N,
49,N,
19,N,
55,N,
44,N,
25,N,
35,N,
23,N,
40,N,
56,N,
38,N,
19,N,
50,N,
21,N,
51,N,
38,N,
25,N,
21,N,
27,N,
19,N,
33,N,
19,N,
20,N,
19,N,
23,N,
21,N,
36,N,
47,Y,
33,N,
23,N,
45,N,
38,N,
22,N,
29,N,
20,Y,
35,N,
30,N,
34,N,
53,N,
21,N,
16,Y,
28,N,
49,N,
27,N,
28,N,
44,N,
39,N,
23,N,
21,N,
19,N,
37,N,
40,Y,
28,N,
45,N,
21,Y,
32,N,
35,N,
43,N,
53,N,
28,N,
63,N,
39,N,
53,N,
52,N,
44,N,
31,N,
38,Y,
58,N,
55,N,
47,Y,
45,N,
52,N,
43,N,
45,N,
30,N,
66,N,
37,N,
46,N,
50,N,
37,N,
45,N,
31,N,
52,N,
28,N,
41,N,
40,N,
38,N,
43,Y,
35,N,
48,N,
25,N,
26,N,
29,N,
34,N,
31,N,
30,N,
45,N,
41,N,
23,N,
56,N,
33,N,
52,N,
25,N,
30,N,
33,N,
37,N,
27,N,
27,N,
46,N,
50,N,
37,N,
26,N,
41,N,
39,N,
29,N,
45,N,
44,N,
30,N,
42,N,
60,N,
45,N,
35,N,
51,N,
29,N,
36,N,
45,N,
47,N,
26,N,
45,N,
19,N,
25,N,
29,N,
49,N,
53,N,
40,N,
32,N,
31,N,
83,N,
55,N,
25,N,
19,N,
33,N,
20,N,
40,N,
39,N,
34,N,
28,N,
72,N,
34,N,
35,N,
28,Y,
42,N,
27,N,
20,N,
21,N,
43,N,
61,N,
35,N,
27,N,
52,N,
55,N,
39,N,
47,N,
29,N,
45,N,
33,N,
49,N,
55,N,
40,N,
74,N,
45,N,
47,N,
32,N,
27,N,
41,N,
56,N,
29,N,
40,N,
21,N,
22,N,
33,N,
36,N,
21,N,
55,N,
28,N,
42,N,
39,N,
23,N,
67,N,
59,N,
22,N,
20,N,
46,N,
23,N,
25,N,
31,N,
48,N,
40,N,
22,N,
18,N,
23,N,
64,N,
23,N,
25,N,
