subject_race,searched,
W,N,
W,N,
H,N,
H,N,
B,N,
H,N,
H,N,
H,N,
B,Y,
W,Y,
H,N,
W,N,
W,N,
A,N,
H,N,
W,Y,
W,N,
O,N,
H,Y,
B,N,
B,Y,
H,N,
W,N,
W,N,
A,N,
H,N,
B,N,
W,N,
B,N,
W,N,
O,Y,
H,N,
H,Y,
H,N,
B,Y,
H,N,
W,Y,
B,N,
W,Y,
H,N,
O,N,
W,N,
W,N,
W,N,
H,N,
W,N,
H,N,
H,N,
W,N,
O,N,
W,N,
W,Y,
B,N,
W,N,
B,N,
W,N,
B,N,
A,N,
W,N,
H,N,
A,N,
W,N,
H,N,
B,N,
B,N,
O,N,
B,N,
W,N,
O,N,
B,N,
W,N,
A,N,
W,N,
H,N,
W,N,
H,N,
W,N,
B,N,
W,N,
B,N,
B,Y,
H,N,
H,N,
O,N,
A,N,
F,N,
W,N,
W,N,
O,N,
W,N,
B,N,
H,N,
H,N,
H,Y,
H,N,
H,N,
W,N,
H,N,
O,N,
H,N,
W,N,
W,N,
O,N,
H,N,
B,N,
H,N,
W,N,
A,N,
W,N,
O,N,
A,N,
B,N,
O,N,
W,N,
B,N,
B,N,
H,N,
H,N,
A,N,
W,N,
O,N,
H,N,
A,N,
W,N,
H,N,
A,N,
W,N,
W,N,
O,N,
B,N,
W,N,
W,N,
W,N,
W,N,
B,N,
W,Y,
W,N,
O,N,
H,N,
W,N,
B,N,
H,N,
W,N,
W,N,
I,N,
W,N,
W,N,
H,N,
W,N,
W,N,
B,N,
W,N,
W,N,
H,N,
W,N,
W,N,
W,N,
B,N,
H,N,
W,N,
W,N,
H,N,
W,N,
W,N,
H,N,
W,N,
H,N,
W,N,
O,N,
H,N,
H,N,
H,N,
W,N,
W,N,
W,N,
W,N,
W,N,
W,N,
W,N,
O,N,
W,N,
W,N,
W,N,
A,N,
H,N,
A,N,
O,N,
W,N,
O,N,
B,N,
H,N,
H,N,
H,N,
A,N,
B,N,
B,N,
H,N,
A,N,
W,N,
W,N,
B,N,
H,N,
H,N,
W,N,
H,Y,
H,N,
H,N,
B,N,
C,N,
H,N,
W,Y,
H,N,
